OBJECTID,Zoning_ID,Category,Subcategory,Use_Type,Use_Status,Density,Unit,Notes
328,PCAP_CONS_BURTON,Resource Management,Vegetation Protection,Insect and Disease Suppression,Allowed,,NA,NA
329,PCAP_CONS_BURTON,Resource Management,Vegetation Protection,Uncommon Plant Community Management,Allowed,,NA,NA
330,PCAP_CONS_BURTON,Resource Management,Watershed Improvements,Erosion Control,Allowed,,NA,NA
331,PCAP_CONS_BURTON,Resource Management,Watershed Improvements,Stream Environmental Zone (SEZ) Restoration,Allowed,,NA,NA
332,PCAP_CONS_BURTON,Resource Management,Watershed Improvements,Runoff Control,Allowed,,NA,NA
333,PCAP_RES_CARNELIANBAY,Residential,Residential,Single Family Dwelling,Allowed,1,unit per parcel,NA
334,PCAP_RES_CARNELIANBAY,Public Services,General,Local Public Health and Safety Facilities,Minor Use,,NA,NA
335,PCAP_RES_CARNELIANBAY,Public Services,General,Public Utility Centers,Minor Use,,NA,NA
336,PCAP_RES_CARNELIANBAY,Public Services,General,Local Post Office,Minor Use,,NA,NA
337,PCAP_RES_CARNELIANBAY,Public Services,Linear Public Facilities,Pipelines and Power Transmission,Conditional Use,,NA,NA
338,PCAP_RES_CARNELIANBAY,Public Services,Linear Public Facilities,Transportation Routes,Conditional Use,,NA,NA
339,PCAP_RES_CARNELIANBAY,Public Services,Linear Public Facilities,Transit Stations and Terminals,Conditional Use,,NA,NA
340,PCAP_RES_CARNELIANBAY,Public Services,Linear Public Facilities,Transmission and Receiving Facilities,Minor Use,,NA,"Placer County Code, Section 17.56.060.F"
341,PCAP_RES_CARNELIANBAY,Recreation,Recreation,Beach Recreation,Allowed,,NA,NA
342,PCAP_RES_CARNELIANBAY,Recreation,Recreation,Participant Sports Facilities,Minor Use,,NA,NA
343,PCAP_RES_CARNELIANBAY,Recreation,Recreation,Day Use Areas,Allowed,,NA,NA
344,PCAP_RES_CARNELIANBAY,Recreation,Recreation,Riding and Hiking Trails,Allowed,,NA,NA
345,PCAP_RES_CARNELIANBAY,Resource Management,Timber Management,Reforestation,Allowed,,NA,NA
346,PCAP_RES_CARNELIANBAY,Resource Management,Timber Management,Special Cut,Allowed,,NA,NA
347,PCAP_RES_CARNELIANBAY,Resource Management,Timber Management,Thinning,Allowed,,NA,NA
348,PCAP_RES_CARNELIANBAY,Resource Management,Timber Management,Sanitation Salvage Cut,Allowed,,NA,NA
349,PCAP_RES_CARNELIANBAY,Resource Management,Wildlife And Fishes,Early Successional Vegetation Management,Allowed,,NA,NA
350,PCAP_RES_CARNELIANBAY,Resource Management,Wildlife And Fishes,Structural Fish Habitat Management,Allowed,,NA,NA
351,PCAP_RES_CARNELIANBAY,Resource Management,Wildlife And Fishes,Nonstructural Fish Habitat Management,Allowed,,NA,NA
352,PCAP_RES_CARNELIANBAY,Resource Management,Wildlife And Fishes,Structural Wildlife Habitat Management,Allowed,,NA,NA
353,PCAP_RES_CARNELIANBAY,Resource Management,Wildlife And Fishes,Nonstructural Wildlife Habitat Management,Allowed,,NA,NA
354,PCAP_RES_CARNELIANBAY,Resource Management,Vegetation Protection,Fire Detection and Suppression,Allowed,,NA,NA
355,PCAP_RES_CARNELIANBAY,Resource Management,Vegetation Protection,Fuels Treatment Management,Allowed,,NA,NA
356,PCAP_RES_CARNELIANBAY,Resource Management,Vegetation Protection,Sensitive Plant Management,Allowed,,NA,NA
357,PCAP_RES_CARNELIANBAY,Resource Management,Vegetation Protection,Insect and Disease Suppression,Allowed,,NA,NA
358,PCAP_RES_CARNELIANBAY,Resource Management,Vegetation Protection,Uncommon Plant Community Management,Allowed,,NA,NA
359,PCAP_RES_CARNELIANBAY,Resource Management,Watershed Improvements,Erosion Control,Allowed,,NA,NA
360,PCAP_RES_CARNELIANBAY,Resource Management,Watershed Improvements,Stream Environmental Zone (SEZ) Restoration,Allowed,,NA,NA
361,PCAP_RES_CARNELIANBAY,Resource Management,Watershed Improvements,Runoff Control,Allowed,,NA,NA
362,PCAP_RES_CARNELIANWOODS,Residential,Residential,Single Family Dwelling,Allowed,1,unit per parcel,NA
363,PCAP_RES_CARNELIANWOODS,Public Services,General,Local Public Health and Safety Facilities,Minor Use,,NA,NA
364,PCAP_RES_CARNELIANWOODS,Public Services,General,Public Utility Centers,Minor Use,,NA,NA
365,PCAP_RES_CARNELIANWOODS,Public Services,Linear Public Facilities,Pipelines and Power Transmission,Conditional Use,,NA,NA
366,PCAP_RES_CARNELIANWOODS,Public Services,Linear Public Facilities,Transportation Routes,Conditional Use,,NA,NA
367,PCAP_RES_CARNELIANWOODS,Public Services,Linear Public Facilities,Transit Stations and Terminals,Conditional Use,,NA,NA
368,PCAP_RES_CARNELIANWOODS,Public Services,Linear Public Facilities,Transmission and Receiving Facilities,Minor Use,,NA,"Placer County Code, Section 17.56.060.F"
369,PCAP_RES_CARNELIANWOODS,Recreation,Recreation,Participant Sports Facilities,Minor Use,,NA,NA
370,PCAP_RES_CARNELIANWOODS,Recreation,Recreation,Day Use Areas,Allowed,,NA,NA
371,PCAP_RES_CARNELIANWOODS,Recreation,Recreation,Riding and Hiking Trails,Allowed,,NA,NA
372,PCAP_RES_CARNELIANWOODS,Resource Management,Timber Management,Reforestation,Allowed,,NA,NA
373,PCAP_RES_CARNELIANWOODS,Resource Management,Timber Management,Special Cut,Allowed,,NA,NA
374,PCAP_RES_CARNELIANWOODS,Resource Management,Timber Management,Thinning,Allowed,,NA,NA
375,PCAP_RES_CARNELIANWOODS,Resource Management,Timber Management,Sanitation Salvage Cut,Allowed,,NA,NA
376,PCAP_RES_CARNELIANWOODS,Resource Management,Wildlife And Fishes,Early Successional Vegetation Management,Allowed,,NA,NA
377,PCAP_RES_CARNELIANWOODS,Resource Management,Wildlife And Fishes,Structural Fish Habitat Management,Allowed,,NA,NA
378,PCAP_RES_CARNELIANWOODS,Resource Management,Wildlife And Fishes,Nonstructural Fish Habitat Management,Allowed,,NA,NA
379,PCAP_RES_CARNELIANWOODS,Resource Management,Wildlife And Fishes,Structural Wildlife Habitat Management,Allowed,,NA,NA
380,PCAP_RES_CARNELIANWOODS,Resource Management,Wildlife And Fishes,Nonstructural Wildlife Habitat Management,Allowed,,NA,NA
381,PCAP_RES_CARNELIANWOODS,Resource Management,Vegetation Protection,Fire Detection and Suppression,Allowed,,NA,NA
382,PCAP_RES_CARNELIANWOODS,Resource Management,Vegetation Protection,Fuels Treatment Management,Allowed,,NA,NA
383,PCAP_RES_CARNELIANWOODS,Resource Management,Vegetation Protection,Sensitive Plant Management,Allowed,,NA,NA
384,PCAP_RES_CARNELIANWOODS,Resource Management,Vegetation Protection,Insect and Disease Suppression,Allowed,,NA,NA
385,PCAP_RES_CARNELIANWOODS,Resource Management,Vegetation Protection,Uncommon Plant Community Management,Allowed,,NA,NA
386,PCAP_RES_CARNELIANWOODS,Resource Management,Watershed Improvements,Erosion Control,Allowed,,NA,NA
387,PCAP_RES_CARNELIANWOODS,Resource Management,Watershed Improvements,Stream Environmental Zone (SEZ) Restoration,Allowed,,NA,NA
388,PCAP_RES_CARNELIANWOODS,Resource Management,Watershed Improvements,Runoff Control,Allowed,,NA,NA
389,PCAP_RES_CEDAR_SA1,Residential,Residential,Single Family Dwelling,Allowed,1,unit per parcel,NA
390,PCAP_RES_CEDAR_SA1,Public Services,General,Local Public Health and Safety Facilities,Minor Use,,NA,NA
391,PCAP_RES_CEDAR_SA1,Public Services,General,Religious Assembly,Minor Use,,NA,NA
392,PCAP_RES_CEDAR_SA1,Public Services,General,Public Utility Centers,Minor Use,,NA,NA
393,PCAP_RES_CEDAR_SA1,Public Services,General,Day Care Centers/Pre-Schools,Minor Use,,NA,NA
394,PCAP_RES_CEDAR_SA1,Public Services,General,Local Post Office,Minor Use,,NA,NA
395,PCAP_RES_CEDAR_SA1,Public Services,Linear Public Facilities,Pipelines and Power Transmission,Conditional Use,,NA,NA
396,PCAP_RES_CEDAR_SA1,Public Services,Linear Public Facilities,Transportation Routes,Conditional Use,,NA,NA
397,PCAP_RES_CEDAR_SA1,Public Services,Linear Public Facilities,Transit Stations and Terminals,Conditional Use,,NA,NA
398,PCAP_RES_CEDAR_SA1,Public Services,Linear Public Facilities,Transmission and Receiving Facilities,Minor Use,,NA,"Placer County Code, Section 17.56.060.F"
399,PCAP_RES_CEDAR_SA1,Recreation,Recreation,Beach Recreation,Allowed,,NA,NA
400,PCAP_RES_CEDAR_SA1,Recreation,Recreation,Participant Sports Facilities,Minor Use,,NA,NA
401,PCAP_RES_CEDAR_SA1,Recreation,Recreation,Day Use Areas,Allowed,,NA,NA
402,PCAP_RES_CEDAR_SA1,Recreation,Recreation,Riding and Hiking Trails,Allowed,,NA,NA
403,PCAP_RES_CEDAR_SA1,Resource Management,Timber Management,Reforestation,Allowed,,NA,NA
404,PCAP_RES_CEDAR_SA1,Resource Management,Timber Management,Special Cut,Allowed,,NA,NA
405,PCAP_RES_CEDAR_SA1,Resource Management,Timber Management,Thinning,Allowed,,NA,NA
406,PCAP_RES_CEDAR_SA1,Resource Management,Timber Management,Sanitation Salvage Cut,Allowed,,NA,NA
407,PCAP_RES_CEDAR_SA1,Resource Management,Timber Management,Selection Cut,Minor Use,,NA,NA
408,PCAP_RES_CEDAR_SA1,Resource Management,Wildlife And Fishes,Early Successional Vegetation Management,Allowed,,NA,NA
409,PCAP_RES_CEDAR_SA1,Resource Management,Wildlife And Fishes,Structural Fish Habitat Management,Allowed,,NA,NA
410,PCAP_RES_CEDAR_SA1,Resource Management,Wildlife And Fishes,Nonstructural Fish Habitat Management,Allowed,,NA,NA
411,PCAP_RES_CEDAR_SA1,Resource Management,Wildlife And Fishes,Structural Wildlife Habitat Management,Allowed,,NA,NA
412,PCAP_RES_CEDAR_SA1,Resource Management,Wildlife And Fishes,Nonstructural Wildlife Habitat Management,Allowed,,NA,NA
413,PCAP_RES_CEDAR_SA1,Resource Management,Vegetation Protection,Fire Detection and Suppression,Allowed,,NA,NA
414,PCAP_RES_CEDAR_SA1,Resource Management,Vegetation Protection,Fuels Treatment Management,Allowed,,NA,NA
415,PCAP_RES_CEDAR_SA1,Resource Management,Vegetation Protection,Sensitive Plant Management,Allowed,,NA,NA
416,PCAP_RES_CEDAR_SA1,Resource Management,Vegetation Protection,Insect and Disease Suppression,Allowed,,NA,NA
417,PCAP_RES_CEDAR_SA1,Resource Management,Vegetation Protection,Uncommon Plant Community Management,Allowed,,NA,NA
418,PCAP_RES_CEDAR_SA1,Resource Management,Watershed Improvements,Erosion Control,Allowed,,NA,NA
419,PCAP_RES_CEDAR_SA1,Resource Management,Watershed Improvements,Stream Environmental Zone (SEZ) Restoration,Allowed,,NA,NA
420,PCAP_RES_CEDAR_SA1,Resource Management,Watershed Improvements,Runoff Control,Allowed,,NA,NA
421,PCAP_RES_CHAMBERS,Residential,Residential,Single Family Dwelling,Allowed,1,unit per parcel,NA
422,PCAP_RES_CHAMBERS,Commercial,Retail,Eating and Drinking Places,Minor Use,,NA,See Special Policy 2.a.
423,PCAP_RES_CHAMBERS,Public Services,General,Local Public Health and Safety Facilities,Minor Use,,NA,NA
424,PCAP_RES_CHAMBERS,Public Services,General,Religious Assembly,Minor Use,,NA,NA
425,PCAP_RES_CHAMBERS,Public Services,General,Public Utility Centers,Minor Use,,NA,NA
426,PCAP_RES_CHAMBERS,Public Services,General,Local Post Office,Minor Use,,NA,NA
427,PCAP_RES_CHAMBERS,Public Services,Linear Public Facilities,Pipelines and Power Transmission,Conditional Use,,NA,NA
428,PCAP_RES_CHAMBERS,Public Services,Linear Public Facilities,Transportation Routes,Conditional Use,,NA,NA
429,PCAP_RES_CHAMBERS,Public Services,Linear Public Facilities,Transit Stations and Terminals,Conditional Use,,NA,NA
430,PCAP_RES_CHAMBERS,Public Services,Linear Public Facilities,Transmission and Receiving Facilities,Minor Use,,NA,"Placer County Code, Section 17.56.060.F"
431,PCAP_RES_CHAMBERS,Recreation,Recreation,Beach Recreation,Allowed,,NA,NA
432,PCAP_RES_CHAMBERS,Recreation,Recreation,Participant Sports Facilities,Minor Use,,NA,NA
433,PCAP_RES_CHAMBERS,Recreation,Recreation,Day Use Areas,Allowed,,NA,NA
434,PCAP_RES_CHAMBERS,Recreation,Recreation,Riding and Hiking Trails,Allowed,,NA,NA
435,PCAP_RES_CHAMBERS,Resource Management,Timber Management,Reforestation,Allowed,,NA,NA
436,PCAP_RES_CHAMBERS,Resource Management,Timber Management,Special Cut,Allowed,,NA,NA
437,PCAP_RES_CHAMBERS,Resource Management,Timber Management,Thinning,Allowed,,NA,NA
438,PCAP_RES_CHAMBERS,Resource Management,Timber Management,Sanitation Salvage Cut,Allowed,,NA,NA
439,PCAP_RES_CHAMBERS,Resource Management,Wildlife And Fishes,Early Successional Vegetation Management,Allowed,,NA,NA
440,PCAP_RES_CHAMBERS,Resource Management,Wildlife And Fishes,Structural Fish Habitat Management,Allowed,,NA,NA
441,PCAP_RES_CHAMBERS,Resource Management,Wildlife And Fishes,Nonstructural Fish Habitat Management,Allowed,,NA,NA
442,PCAP_RES_CHAMBERS,Resource Management,Wildlife And Fishes,Structural Wildlife Habitat Management,Allowed,,NA,NA
443,PCAP_RES_CHAMBERS,Resource Management,Wildlife And Fishes,Nonstructural Wildlife Habitat Management,Allowed,,NA,NA
444,PCAP_RES_CHAMBERS,Resource Management,Vegetation Protection,Fire Detection and Suppression,Allowed,,NA,NA
445,PCAP_RES_CHAMBERS,Resource Management,Vegetation Protection,Fuels Treatment Management,Allowed,,NA,NA
446,PCAP_RES_CHAMBERS,Resource Management,Vegetation Protection,Sensitive Plant Management,Allowed,,NA,NA
447,PCAP_RES_CHAMBERS,Resource Management,Vegetation Protection,Insect and Disease Suppression,Allowed,,NA,NA
448,PCAP_RES_CHAMBERS,Resource Management,Vegetation Protection,Uncommon Plant Community Management,Allowed,,NA,NA
449,PCAP_RES_CHAMBERS,Resource Management,Watershed Improvements,Erosion Control,Allowed,,NA,NA
450,PCAP_RES_CHAMBERS,Resource Management,Watershed Improvements,Stream Environmental Zone (SEZ) Restoration,Allowed,,NA,NA
451,PCAP_RES_CHAMBERS,Resource Management,Watershed Improvements,Runoff Control,Allowed,,NA,NA
452,PCAP_RES_DOLLAR,Residential,Residential,Single Family Dwelling,Allowed,1,unit per parcel,NA
453,PCAP_RES_DOLLAR,Public Services,General,Local Public Health and Safety Facilities,Minor Use,,NA,NA
454,PCAP_RES_DOLLAR,Public Services,General,Religious Assembly,Minor Use,,NA,NA
455,PCAP_RES_DOLLAR,Public Services,General,Public Utility Centers,Minor Use,,NA,NA
456,PCAP_RES_DOLLAR,Public Services,General,Local Post Office,Minor Use,,NA,NA
457,PCAP_RES_DOLLAR,Public Services,Linear Public Facilities,Pipelines and Power Transmission,Conditional Use,,NA,NA
458,PCAP_RES_DOLLAR,Public Services,Linear Public Facilities,Transportation Routes,Conditional Use,,NA,NA
459,PCAP_RES_DOLLAR,Public Services,Linear Public Facilities,Transit Stations and Terminals,Conditional Use,,NA,NA
460,PCAP_RES_DOLLAR,Public Services,Linear Public Facilities,Transmission and Receiving Facilities,Minor Use,,NA,"Placer County Code, Section 17.56.060.F"
461,PCAP_RES_DOLLAR,Recreation,Recreation,Beach Recreation,Allowed,,NA,NA
462,PCAP_RES_DOLLAR,Recreation,Recreation,Participant Sports Facilities,Minor Use,,NA,NA
463,PCAP_RES_DOLLAR,Recreation,Recreation,Day Use Areas,Allowed,,NA,NA
464,PCAP_RES_DOLLAR,Recreation,Recreation,Riding and Hiking Trails,Allowed,,NA,NA
465,PCAP_RES_DOLLAR,Resource Management,Timber Management,Reforestation,Allowed,,NA,NA
466,PCAP_RES_DOLLAR,Resource Management,Timber Management,Special Cut,Allowed,,NA,NA
467,PCAP_RES_DOLLAR,Resource Management,Timber Management,Thinning,Allowed,,NA,NA
468,PCAP_RES_DOLLAR,Resource Management,Timber Management,Sanitation Salvage Cut,Allowed,,NA,NA
469,PCAP_RES_DOLLAR,Resource Management,Wildlife And Fishes,Early Successional Vegetation Management,Allowed,,NA,NA
470,PCAP_RES_DOLLAR,Resource Management,Wildlife And Fishes,Structural Fish Habitat Management,Allowed,,NA,NA
471,PCAP_RES_DOLLAR,Resource Management,Wildlife And Fishes,Nonstructural Fish Habitat Management,Allowed,,NA,NA
472,PCAP_RES_DOLLAR,Resource Management,Wildlife And Fishes,Structural Wildlife Habitat Management,Allowed,,NA,NA
473,PCAP_RES_DOLLAR,Resource Management,Wildlife And Fishes,Nonstructural Wildlife Habitat Management,Allowed,,NA,NA
474,PCAP_RES_DOLLAR,Resource Management,Vegetation Protection,Fire Detection and Suppression,Allowed,,NA,NA
475,PCAP_RES_DOLLAR,Resource Management,Vegetation Protection,Fuels Treatment Management,Allowed,,NA,NA
476,PCAP_RES_DOLLAR,Resource Management,Vegetation Protection,Sensitive Plant Management,Allowed,,NA,NA
477,PCAP_RES_DOLLAR,Resource Management,Vegetation Protection,Insect and Disease Suppression,Allowed,,NA,NA
478,PCAP_RES_DOLLAR,Resource Management,Vegetation Protection,Uncommon Plant Community Management,Allowed,,NA,NA
479,PCAP_RES_DOLLAR,Resource Management,Open Space,Allowed in all Areas of the Region,Allowed,,NA,NA
480,PCAP_RES_DOLLAR,Resource Management,Watershed Improvements,Erosion Control,Allowed,,NA,NA
481,PCAP_RES_DOLLAR,Resource Management,Watershed Improvements,Stream Environmental Zone (SEZ) Restoration,Allowed,,NA,NA
482,PCAP_RES_DOLLAR,Resource Management,Watershed Improvements,Runoff Control,Allowed,,NA,NA
483,PCAP_COM/PS_FAIRWAY,Residential,Residential,Employee Housing,Minor Use,,NA,no employee housing density in area plan
484,PCAP_COM/PS_FAIRWAY,Residential,Residential,Single Family Dwelling,Allowed,1,unit per parcel,NA
485,PCAP_COM/PS_FAIRWAY,Residential,Residential,Multiple Family Dwelling,Minor Use,15,units per acre,NA
486,PCAP_COM/PS_FAIRWAY,Commercial,Retail,Nursery,Minor Use,,NA,NA
487,PCAP_COM/PS_FAIRWAY,Commercial,Services,Professional Offices,Allowed,,NA,NA
488,PCAP_COM/PS_FAIRWAY,Commercial,Services,Business Support Services,Allowed,,NA,NA
489,PCAP_COM/PS_FAIRWAY,Public Services,General,Local Public Health and Safety Facilities,Allowed,,NA,NA
490,PCAP_COM/PS_FAIRWAY,Public Services,General,Cultural Facilities,Allowed,,NA,NA
491,PCAP_COM/PS_FAIRWAY,Public Services,General,Public Utility Centers,Allowed,,NA,NA
492,PCAP_COM/PS_FAIRWAY,Public Services,General,Regional Public Health and Safety Facilities,Minor Use,,NA,NA
493,PCAP_COM/PS_FAIRWAY,Public Services,General,Government Offices,Minor Use,,NA,NA
494,PCAP_COM/PS_FAIRWAY,Public Services,General,Threshold-Related Research Facilities,Minor Use,,NA,NA
